n,beta_xy,usvp,bdd,dual,dual_hybrid,min_attack,min_bits
512,5,84.48291956565106,82.62639734710584,86.59601612514093,86.31109288465673,bdd,82.62639734710584
512,6,86.40789769597792,84.5477687770844,88.44430954568308,88.15988713270619,bdd,84.5477687770844
512,8,89.95916709800501,87.83959075962441,92.00173625992613,91.7172666425638,bdd,87.83959075962441
512,12,95.18203866906171,93.0875474255427,97.83940305141076,97.5541835777853,bdd,93.0875474255427
512,16,99.56780061675315,97.30681580148065,102.25517824642509,101.96967783770613,bdd,97.30681580148065
512,24,106.6971414680056,104.04929731850831,109.6623730034538,109.37678133287908,bdd,104.04929731850831
512,32,112.19357499153448,109.49771293449145,115.64522587080069,,bdd,109.49771293449145
512,48,121.26528384321651,118.25509603003964,125.34311269276739,124.77137387025756,bdd,118.25509603003964
512,64,128.6915292676469,125.43606511676299,133.46911189535695,132.32934340328913,bdd,125.43606511676299
512,80,135.02095032040705,131.5587038639982,140.17592313678256,139.03294846716318,bdd,131.5587038639982
512,96,140.8023046783771,137.08161761509928,146.452385193401,145.1725114197569,bdd,137.08161761509928
512,100,141.90604885292203,138.4225710759066,147.8810010275976,146.45238519340464,bdd,138.4225710759066
512,128,150.71742391662485,146.86187176214906,157.3042724317556,155.87343349855672,bdd,146.86187176214906
1024,5,167.9539700293627,165.45128636924926,172.5267758155695,171.6676206678254,bdd,165.45128636924926
1024,6,172.1217226774732,169.61628617500267,176.96770414207845,174.67255254155245,bdd,169.61628617500267
1024,8,179.33930280484935,176.7556757757474,184.70564333684823,182.2650890517289,bdd,176.7556757757474
1024,12,190.72773264498994,187.96007580646682,196.7462815278411,193.88122078520504,bdd,187.96007580646682
1024,16,199.89533665551977,196.86341514167626,206.49702392779682,203.35517987925357,bdd,196.86341514167626
1024,24,214.35345383157826,210.99705889891865,221.9845760516918,218.28427221368358,bdd,210.99705889891865
1024,32,225.76446677790761,222.39216380219665,234.32585053197087,,bdd,222.39216380219665
1024,48,244.13931557715975,240.50897015897618,253.98518700477484,249.6454122718641,bdd,240.50897015897618
1024,64,259.1792356570921,255.10977070816662,270.20797592800847,265.1377908783607,bdd,255.10977070816662
1024,80,271.99853851248025,267.6291839447715,283.84897059640844,278.3350699415473,bdd,267.6291839447715
1024,96,283.15068891811745,278.8039561598705,296.49145694072234,290.05067072784186,bdd,278.8039561598705
1024,100,285.9376345191765,281.4089485445401,299.2169518059204,292.7296747112277,bdd,281.4089485445401
1024,128,302.9507445042343,298.0906191727802,317.8901879295314,310.33314251250584,bdd,298.0906191727802
