variant,target,n,beta_xy,usvp,bdd,dual,dual_hybrid,min_attack,min_bits
ANT-II-like,103,256,6,47.19259338919607,45.34790792991886,48.59449394899048,47.727918463879305,bdd,45.34790792991886
ANT-II-like,103,512,6,86.40789769597792,84.5477687770844,88.44430954568308,88.15988713270619,bdd,84.5477687770844
ANT-II-like,103,1024,6,172.1217226774732,169.61628617500267,176.96770414207845,174.67255254155245,bdd,169.61628617500267
ANT-II-like,103,2048,6,363.29819467959146,360.20145065257014,374.99488793686567,368.08677340743463,bdd,360.20145065257014
ANT-II-like,103,4096,6,inf,604.2018843414913,inf,inf,bdd,604.2018843414913
ANT-III-like,138,256,5,46.05640267284528,43.91504795592478,47.43845883936855,46.276706217664945,bdd,43.91504795592478
ANT-III-like,138,512,5,84.48291956565106,82.62639734710584,86.59601612514093,86.31109288465673,bdd,82.62639734710584
ANT-III-like,138,1024,5,167.9539700293627,165.45128636924926,172.5267758155695,171.6676206678254,bdd,165.45128636924926
ANT-III-like,138,2048,5,354.3346846764238,351.42459061191033,365.7808792130934,362.18529469401676,bdd,351.42459061191033
ANT-III-like,138,4096,5,inf,573.6268331915622,inf,inf,bdd,573.6268331915622
